epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.0956,3.58484,5.08115,2.09798,0.00094,0.10714,0.00666,0.00381,2.94408,4.71306,1.92188,3.334e-05,3.334e-05,3.334e-05
2,55.1943,3.33664,4.67257,2.01537,0.0013,0.14286,0.04353,0.02921,2.74315,4.59769,1.75493,8.16997e-05,8.16997e-05,8.16997e-05
3,76.0193,2.95598,4.61558,1.78178,0.00236,0.24554,0.07398,0.04751,2.39266,4.37783,1.47808,0.000128079,0.000128079,0.000128079
4,94.4768,2.72436,4.02372,1.5917,0.00209,0.20536,0.09125,0.05163,2.0613,4.17986,1.25046,0.000172478,0.000172478,0.000172478
5,113.732,2.2715,3.42438,1.38367,0.00245,0.24107,0.07315,0.04749,1.97185,4.07885,1.21341,0.000214896,0.000214896,0.000214896
6,132.305,2.29927,2.82175,1.26776,0.00535,0.53571,0.07534,0.0485,1.9501,4.02659,1.25429,0.000255334,0.000255334,0.000255334
7,156.341,2.16845,2.51651,1.23866,0.00721,0.72321,0.07872,0.05015,1.87931,3.92573,1.27231,0.000293792,0.000293792,0.000293792
8,184.987,2.08762,2.26374,1.24946,0.00789,0.79018,0.07977,0.04858,1.81398,3.8452,1.20568,0.000330269,0.000330269,0.000330269
9,213.344,1.90613,2.01195,1.2714,0.00825,0.82589,0.08154,0.04918,1.73129,3.76402,1.16593,0.000364766,0.000364766,0.000364766
10,231.799,2.09183,2.29335,1.29186,0.00825,0.82589,0.08269,0.04949,1.69406,3.76241,1.1637,0.000397283,0.000397283,0.000397283
11,250.061,2.02205,2.08461,1.23416,0.00975,0.96429,0.11584,0.05521,1.7,3.70328,1.16833,0.000427819,0.000427819,0.000427819
12,267.997,2.00202,2.13201,1.26093,0.01016,1,0.13311,0.05685,1.69404,3.66775,1.17031,0.000456375,0.000456375,0.000456375
13,285.785,2.0333,2.12387,1.3604,0.01009,1,0.18297,0.07824,1.63805,3.60994,1.15839,0.00048295,0.00048295,0.00048295
14,303.312,1.98273,1.79806,1.25184,0.01011,1,0.33795,0.1594,1.72285,3.5634,1.17552,0.000507545,0.000507545,0.000507545
15,321.504,2.03601,1.75529,1.2384,0.00939,0.92857,0.27841,0.11641,1.76748,3.7108,1.23887,0.000530159,0.000530159,0.000530159
16,339.36,1.86321,1.87711,1.23752,0.00901,0.89286,0.14091,0.0627,1.6863,3.75022,1.22139,0.000550793,0.000550793,0.000550793
17,357.38,1.90565,1.76975,1.26341,0.00736,0.75,0.06385,0.04652,1.66884,3.77909,1.22729,0.000569447,0.000569447,0.000569447
18,378.51,1.84839,1.7707,1.2432,0.77087,0.03571,0.09805,0.06826,1.63034,3.67289,1.19794,0.000586121,0.000586121,0.000586121
19,397.254,1.894,1.61757,1.23582,1,0.06949,0.28472,0.13005,1.69007,3.54714,1.18282,0.000600813,0.000600813,0.000600813
20,415.68,1.90362,1.75247,1.24472,0.9016,0.07143,0.44032,0.19107,1.6316,3.48322,1.1611,0.000613526,0.000613526,0.000613526
21,434.602,1.81776,1.45008,1.20919,0.87953,0.07143,0.48971,0.23655,1.65907,3.41916,1.14649,0.000624258,0.000624258,0.000624258
22,452.176,1.82567,1.51885,1.25705,0.87345,0.07143,0.52288,0.18301,2.07553,3.38775,1.26846,0.00063301,0.00063301,0.00063301
23,469.954,1.88683,1.60451,1.20802,0.86801,0.07143,0.52428,0.20138,2.10764,3.27899,1.28437,0.000639781,0.000639781,0.000639781
24,487.59,1.85357,1.48808,1.22881,0.85631,0.07143,0.70921,0.34442,1.70199,3.11525,1.12811,0.000644572,0.000644572,0.000644572
25,506.221,1.75554,1.54733,1.17145,0.81569,0.07143,0.66661,0.32682,1.53219,3.01489,1.08451,0.000647383,0.000647383,0.000647383
26,523.988,1.81854,1.59914,1.11879,0.72318,0.14838,0.66836,0.33657,1.51608,2.92917,1.0905,0.000648213,0.000648213,0.000648213
27,541.712,1.89724,1.63957,1.24443,0.73044,0.17808,0.7271,0.38458,1.47174,2.8413,1.09599,0.000647063,0.000647063,0.000647063
28,559.853,1.76793,1.47232,1.17668,0.866,0.18831,0.81651,0.45801,1.4737,2.76226,1.0902,0.000643932,0.000643932,0.000643932
29,577.728,1.6429,1.48405,1.18459,0.866,0.18831,0.81651,0.45801,1.4737,2.76226,1.0902,0.000638821,0.000638821,0.000638821
30,596.059,1.81784,1.40433,1.1919,0.9141,0.2827,0.94899,0.53408,1.49587,2.64168,1.10243,0.00063173,0.00063173,0.00063173
31,617.528,1.7769,1.43501,1.08971,0.93988,0.55732,0.96187,0.51187,1.56825,2.54011,1.12689,0.000622658,0.000622658,0.000622658
32,635.926,1.59866,1.41641,1.14204,0.85239,0.63798,0.90704,0.49116,1.50035,2.44587,1.11058,0.000611606,0.000611606,0.000611606
33,653.623,1.66065,1.44984,1.13066,0.85239,0.63798,0.90704,0.49116,1.50035,2.44587,1.11058,0.000598573,0.000598573,0.000598573
34,671.841,1.70164,1.42492,1.19572,0.96909,0.67754,0.92022,0.49166,1.50214,2.37118,1.09914,0.000577782,0.000577782,0.000577782
35,689.975,1.70011,1.35556,1.14719,0.99321,0.70266,0.97188,0.52923,1.46496,2.25863,1.09285,0.000544776,0.000544776,0.000544776
36,708.3,1.6417,1.44053,1.16814,0.93606,0.75774,0.95229,0.55126,1.41744,2.18287,1.07673,0.000511769,0.000511769,0.000511769
37,726.008,1.67388,1.31445,1.16224,0.93606,0.75774,0.95229,0.55126,1.41744,2.18287,1.07673,0.000478762,0.000478762,0.000478762
38,744.059,1.79891,1.24931,1.14615,0.96024,0.87866,0.96667,0.58625,1.38407,2.06516,1.06925,0.000445756,0.000445756,0.000445756
39,761.777,1.69951,1.28839,1.10134,0.95886,0.91005,0.97133,0.56702,1.40126,2.0068,1.06647,0.000412749,0.000412749,0.000412749
40,782.734,1.63751,1.27374,1.12148,0.95715,0.95898,0.9909,0.55736,1.42536,1.9222,1.07743,0.000379743,0.000379743,0.000379743
41,804.844,1.68495,1.6109,1.17766,0.95715,0.95898,0.9909,0.55736,1.42536,1.9222,1.07743,0.000346736,0.000346736,0.000346736
42,823.522,1.68127,1.59107,1.1689,0.96463,1,0.995,0.56382,1.4181,1.85464,1.07875,0.000313729,0.000313729,0.000313729
43,841.956,1.57174,1.40828,1.11765,0.93159,0.95636,0.995,0.59535,1.41451,1.78651,1.07528,0.000280723,0.000280723,0.000280723
44,859.618,1.66127,1.59882,1.18142,0.93687,0.92502,0.995,0.60766,1.4234,1.73617,1.06827,0.000247716,0.000247716,0.000247716
45,876.993,1.52459,1.7122,1.20419,0.93687,0.92502,0.995,0.60766,1.4234,1.73617,1.06827,0.00021471,0.00021471,0.00021471
46,894.422,1.64671,1.55527,1.10739,0.95713,0.93921,0.995,0.61705,1.39382,1.67551,1.05986,0.000181703,0.000181703,0.000181703
47,912.354,1.5657,1.46009,1.15128,0.95896,0.97905,0.995,0.63083,1.35559,1.60389,1.04985,0.000148696,0.000148696,0.000148696
48,929.461,1.51603,1.39736,1.12084,0.96407,0.98197,0.995,0.6476,1.3186,1.51604,1.04168,0.00011569,0.00011569,0.00011569
49,946.619,1.55214,1.42237,1.14143,0.96407,0.98197,0.995,0.6476,1.3186,1.51604,1.04168,8.26832e-05,8.26832e-05,8.26832e-05
50,965.418,1.4985,1.37762,1.1059,0.97317,0.9818,0.995,0.65021,1.29806,1.44526,1.03962,4.96766e-05,4.96766e-05,4.96766e-05
